customer_id,gender,age_group,city,signup_date,order_id,order_date,restaurant_name,dish_name,category,quantity,price,payment_method,order_frequency,last_order_date,loyalty_points,churned,rating,rating_date,delivery_status
C5663,Male,Adult,Peshawar,2024-01-14,O9663,2023-08-23,McDonald's,Burger,Italian,5,1478.27,Cash,38,2025-07-19,238,Active,3,2024-10-14,Cancelled
C2831,Male,Adult,Multan,2024-07-07,O6831,2023-08-23,KFC,Burger,Italian,3,956.04,Wallet,24,2024-11-25,81,Active,2,2025-08-21,Delayed
C2851,Other,Senior,Multan,2025-06-20,O6851,2023-08-23,Pizza Hut,Fries,Italian,2,882.51,Cash,42,2025-05-10,82,Inactive,3,2024-09-19,Delayed
C1694,Female,Senior,Peshawar,2023-09-05,O5694,2023-08-23,Subway,Pizza,Dessert,4,231.3,Card,27,2025-07-24,45,Inactive,2,2025-06-29,Delayed
C4339,Other,Senior,Lahore,2023-12-29,O8339,2023-08-24,KFC,Sandwich,Dessert,1,1156.69,Cash,35,2024-12-21,418,Inactive,1,2025-03-06,Cancelled
C6543,Other,Adult,Karachi,2023-09-28,O10543,2023-08-24,Burger King,Pizza,Fast Food,5,1213.62,Cash,45,2024-10-10,418,Inactive,4,2025-06-01,Delivered
C6423,Male,Adult,Lahore,2025-04-08,O10423,2023-08-24,McDonald's,Pasta,Continental,5,672.91,Wallet,31,2025-05-25,347,Active,1,2025-03-04,Cancelled
C4621,Male,Adult,Peshawar,2024-02-05,O8621,2023-08-24,Pizza Hut,Pizza,Chinese,2,271.74,Cash,14,2025-05-01,429,Active,2,2024-09-30,Delivered
C5146,Other,Senior,Karachi,2024-12-17,O9146,2023-08-24,KFC,Pizza,Dessert,5,596.96,Wallet,1,2025-05-16,24,Active,4,2024-10-27,Delayed
C3579,Male,Adult,Karachi,2023-10-13,O7579,2023-08-24,Pizza Hut,Pizza,Continental,2,1443.25,Cash,15,2025-02-23,270,Inactive,3,2024-10-11,Delayed
C5535,Male,Adult,Lahore,2025-07-30,O9535,2023-08-24,Subway,Sandwich,Continental,2,645.52,Cash,32,2025-04-08,133,Active,4,2024-12-05,Delayed
C3894,Female,Senior,Multan,2025-01-24,O7894,2023-08-24,Burger King,Burger,Fast Food,1,126.53,Wallet,45,2024-09-26,48,Inactive,1,2025-08-20,Cancelled
C4071,Male,Senior,Islamabad,2024-12-27,O8071,2023-08-24,Subway,Pizza,Italian,1,465.75,Card,29,2024-12-26,394,Active,1,2025-04-16,Cancelled
C4231,Female,Senior,Multan,2025-04-11,O8231,2023-08-24,Burger King,Sandwich,Continental,3,796.91,Wallet,39,2024-11-12,5,Inactive,5,2025-02-27,Delivered
C3914,Male,Teenager,Islamabad,2023-11-29,O7914,2023-08-24,KFC,Pizza,Fast Food,4,1140.76,Wallet,23,2025-04-22,492,Inactive,5,2025-04-19,Delayed
C5681,Other,Adult,Islamabad,2024-11-25,O9681,2023-08-25,Subway,Pizza,Continental,1,1285.18,Cash,10,2025-04-09,196,Inactive,2,2025-06-10,Delayed
C4975,Female,Teenager,Karachi,2025-06-20,O8975,2023-08-25,Burger King,Burger,Dessert,1,673.86,Wallet,38,2025-07-07,439,Inactive,2,2025-07-09,Delivered
C2876,Female,Senior,Islamabad,2024-12-30,O6876,2023-08-25,KFC,Burger,Chinese,2,330.93,Cash,45,2025-07-17,455,Active,1,2024-11-28,Cancelled
C6144,Other,Teenager,Peshawar,2024-08-05,O10144,2023-08-25,Subway,Pasta,Fast Food,2,991.17,Wallet,6,2025-04-22,101,Active,1,2025-03-27,Cancelled
C5092,Female,Adult,Lahore,2023-10-05,O9092,2023-08-25,Subway,Pasta,Chinese,1,1485.16,Card,46,2025-04-24,171,Inactive,3,2025-08-05,Delayed
C2747,Female,Adult,Lahore,2024-08-30,O6747,2023-08-25,Subway,Sandwich,Italian,2,802.12,Wallet,22,2024-09-15,32,Inactive,1,2025-06-11,Cancelled
C3406,Female,Teenager,Lahore,2024-02-25,O7406,2023-08-25,Pizza Hut,Sandwich,Italian,1,1394.47,Cash,13,2025-06-16,273,Inactive,2,2025-07-20,Delayed
C2975,Male,Teenager,Multan,2024-09-28,O6975,2023-08-25,Pizza Hut,Pizza,Italian,3,1287.69,Wallet,49,2025-06-05,35,Active,4,2024-11-10,Delivered
C5497,Other,Adult,Lahore,2025-01-26,O9497,2023-08-25,Burger King,Pasta,Continental,5,785.37,Card,49,2024-10-21,463,Active,2,2025-05-19,Delivered
C2748,Other,Teenager,Karachi,2024-07-07,O6748,2023-08-25,Pizza Hut,Fries,Dessert,2,1304.8,Cash,2,2024-12-01,435,Inactive,1,2024-11-29,Cancelled
C1929,Female,Teenager,Peshawar,2023-11-27,O5929,2023-08-26,KFC,Fries,Continental,1,599.7,Wallet,35,2025-06-26,172,Active,4,2024-11-10,Delayed
C5124,Male,Adult,Lahore,2025-05-25,O9124,2023-08-26,McDonald's,Burger,Continental,3,1065.15,Cash,38,2024-12-13,250,Inactive,1,2025-04-18,Cancelled
C6250,Male,Teenager,Lahore,2024-06-29,O10250,2023-08-26,McDonald's,Pasta,Chinese,5,576.33,Card,7,2025-05-03,60,Active,1,2025-06-03,Cancelled
C1351,Female,Adult,Karachi,2024-06-16,O5351,2023-08-26,KFC,Fries,Chinese,3,761.47,Card,3,2025-01-08,240,Inactive,2,2024-11-29,Delivered
C5795,Female,Senior,Islamabad,2023-11-07,O9795,2023-08-26,KFC,Pizza,Italian,5,1267.2,Card,32,2024-11-10,72,Active,5,2024-10-21,Delayed
C5513,Male,Teenager,Islamabad,2025-07-20,O9513,2023-08-26,KFC,Pizza,Continental,3,1044.89,Card,31,2024-09-15,496,Inactive,2,2024-12-27,Delayed
C6362,Female,Senior,Islamabad,2023-11-22,O10362,2023-08-26,Burger King,Pizza,Chinese,4,343.52,Card,34,2024-09-29,164,Active,3,2025-01-25,Delivered
